title,author,category,quantity
Unpopular Essays,"Russell, Bertrand",philosophy,1
"Deceiver, The","Forsyth, Frederick",fiction,1
Veil: Secret Wars of the CIA,"Woodward, Bob",history,1
Char Shabda,"Deshpande, P L",nonfiction,2
Rosy is My Relative,"Durrell, Gerald",fiction,1
"Moon and Sixpence, The","Maugham, William S",fiction,1
Political Philosophers,,philosophy,1
"Short History of the World, A","Wells, H G",history,1
"Trembling of a Leaf, The","Maugham, William S",fiction,2
Doctor on the Brain,"Gordon, Richard",fiction,2
Simpsons & Their Mathematical Secrets,"Singh, Simon",science,2
Pattern Classification,"Duda, Hart",data_science,2
From Beirut to Jerusalem,"Friedman, Thomas",history,2
"Code Book, The","Singh, Simon",science,1
"Age of the Warrior, The","Fisk, Robert",history,1
Final Crisis,,comic,2
"Killing Joke, The",,comic,2
Flashpoint,,comic,2
Batman Earth One,,comic,2
Crisis on Infinite Earths,,comic,2
"Numbers Behind Numb3rs, The","Devlin, Keith",science,2
Superman Earth One - 1,,comic,2
Superman Earth One - 2,,comic,2
Justice League: Throne of Atlantis,,comic,2
Justice League: The Villain's Journey,,comic,2
"Death of Superman, The",,comic,2
History of the DC Universe,,comic,2
Batman: The Long Halloween,,comic,2
"Life in Letters, A","Steinbeck, John",nonfiction,1
"Information, The","Gleick, James",science,2
"Journal of Economics, vol 106 No 3",,economics,2
Elements of Information Theory,"Thomas, Joy",data_science,2
Power Electronics - Rashid,"Rashid, Muhammad",computer_science,2
Power Electronics - Mohan,"Mohan, Ned",computer_science,2
